sample_id,group,mean_len,median_len,std_len,pct_short,pct_mid,p10,p25,p75,p90,n_fragments,genome_bin_short_frac_std,genome_bin_short_frac_mean,motif_A_frac,motif_C_frac,motif_G_frac,motif_T_frac
85756,healthy,170.79,170.0,18.48,10.57,88.22,149.0,161.0,180.0,193.0,5000000,0.0143,0.102,,,,
85757,healthy,168.61,168.0,17.11,11.44,87.76,148.0,160.0,177.0,189.0,5000000,0.0115,0.112,,,,
85770,healthy,171.88,171.0,18.82,9.86,88.77,150.0,162.0,182.0,195.0,5000000,0.0134,0.095,,,,
85775,healthy,173.43,172.0,20.33,9.5,88.29,150.0,162.0,184.0,198.0,5000000,0.0127,0.0919,,,,
85784,healthy,169.52,169.0,18.0,11.49,87.58,148.0,160.0,179.0,191.0,5000000,0.0134,0.1108,,,,
85787,healthy,170.31,169.0,18.3,10.79,88.06,149.0,160.0,180.0,192.0,5000000,0.014,0.1042,,,,
85791,healthy,173.09,172.0,19.52,9.06,89.02,151.0,162.0,183.0,197.0,5000000,0.012,0.0873,,,,
85795,healthy,169.15,169.0,17.58,11.38,87.76,148.0,160.0,178.0,190.0,5000000,0.0118,0.111,,,,
85816,healthy,170.21,170.0,19.09,11.88,86.81,147.0,160.0,180.0,193.0,5000000,0.014,0.1145,,,,
85830,healthy,171.64,171.0,18.42,9.7,89.02,150.0,162.0,181.0,194.0,5000000,0.0117,0.0942,,,,
85842,healthy,169.58,169.0,16.84,10.21,89.09,149.0,161.0,178.0,190.0,5000000,0.0125,0.0993,,,,
85854,healthy,168.28,168.0,20.26,15.23,83.52,143.0,157.0,179.0,192.0,5000000,0.0142,0.1483,,,,
85860,healthy,170.44,170.0,19.06,11.61,87.08,148.0,160.0,180.0,193.0,5000000,0.0146,0.1121,,,,
85861,healthy,169.49,169.0,17.84,11.56,87.57,148.0,160.0,179.0,191.0,5000000,0.0132,0.112,,,,
85878,healthy,171.76,171.0,18.57,9.59,88.98,150.0,162.0,181.0,195.0,5000000,0.0119,0.0933,,,,
85898,healthy,172.23,171.0,19.52,9.95,88.35,150.0,162.0,182.0,196.0,5000000,0.0118,0.0969,,,,
85904,healthy,171.34,170.0,19.79,11.13,87.15,148.0,161.0,181.0,196.0,5000000,0.0141,0.1079,,,,
85905,healthy,169.31,169.0,17.66,11.31,87.83,148.0,160.0,178.0,190.0,5000000,0.0141,0.1092,,,,
85908,healthy,170.2,170.0,20.13,12.86,85.68,146.0,160.0,181.0,194.0,5000000,0.0131,0.1259,,,,
85918,healthy,171.57,171.0,19.32,10.42,88.01,149.0,161.0,181.0,195.0,5000000,0.0117,0.1015,,,,
85928,healthy,167.5,167.0,17.14,12.84,86.53,146.0,159.0,176.0,188.0,5000000,0.0135,0.1247,,,,
85936,healthy,167.57,168.0,17.88,13.8,85.49,145.0,158.0,177.0,189.0,5000000,0.0135,0.135,,,,
85937,healthy,171.33,170.0,19.52,10.76,87.56,149.0,161.0,181.0,195.0,5000000,0.0139,0.1034,,,,
85941,healthy,168.18,168.0,17.76,12.67,86.54,147.0,159.0,177.0,189.0,5000000,0.0135,0.1229,,,,
85959,healthy,171.82,171.0,18.65,9.56,88.95,150.0,162.0,181.0,194.0,5000000,0.0117,0.093,,,,
85963,healthy,172.08,171.0,18.97,9.45,88.92,150.0,162.0,182.0,195.0,5000000,0.0128,0.091,,,,
85970,healthy,172.65,171.0,18.6,8.54,89.83,151.0,162.0,182.0,196.0,5000000,0.0117,0.0824,,,,
85971,healthy,172.3,171.0,19.57,9.85,88.36,150.0,162.0,182.0,196.0,5000000,0.014,0.0942,,,,
85980,healthy,171.83,171.0,18.94,9.86,88.7,150.0,161.0,182.0,195.0,5000000,0.0117,0.0957,,,,
85985,healthy,170.65,170.0,19.1,11.11,87.44,148.0,160.0,180.0,194.0,5000000,0.0142,0.1068,,,,
85987,healthy,168.3,168.0,18.2,13.25,85.97,146.0,159.0,178.0,190.0,5000000,0.0136,0.1288,,,,
85988,healthy,172.53,171.0,19.41,9.64,88.63,150.0,162.0,183.0,196.0,5000000,0.0118,0.0935,,,,
86276,healthy,146.65,155.0,50.28,44.21,51.57,72.0,119.0,174.0,193.0,5000000,0.0172,0.4397,,,,
87922,healthy,167.78,168.0,21.38,17.3,81.23,142.0,156.0,179.0,193.0,5000000,0.0259,0.1708,,,,
87923,healthy,165.86,167.0,20.31,18.51,80.6,141.0,155.0,177.0,189.0,5000000,0.0235,0.1801,,,,
87924,healthy,165.71,166.0,19.37,17.99,81.27,142.0,155.0,176.0,188.0,5000000,0.0106,0.179,,,,
87925,healthy,166.62,167.0,20.27,17.51,81.45,142.0,155.0,178.0,190.0,5000000,0.0208,0.1696,,,,
87926,healthy,167.97,168.0,22.36,18.03,80.2,141.0,155.0,180.0,194.0,5000000,0.0209,0.1749,,,,
87927,healthy,166.63,167.0,19.31,16.76,82.45,142.0,156.0,177.0,189.0,5000000,0.0106,0.1669,,,,
87928,healthy,164.45,166.0,20.97,21.29,77.73,138.0,152.0,176.0,189.0,5000000,0.0123,0.2121,,,,
87929,healthy,166.22,167.0,21.03,19.34,79.48,140.0,154.0,178.0,191.0,5000000,0.0125,0.1924,,,,
87932,healthy,167.59,168.0,20.91,16.96,81.73,142.0,156.0,179.0,192.0,5000000,0.0169,0.1654,,,,
87933,healthy,167.77,168.0,21.71,17.49,80.96,141.0,156.0,179.0,193.0,5000000,0.0208,0.169,,,,
87935,healthy,167.13,168.0,22.29,18.82,79.59,140.0,155.0,179.0,193.0,5000000,0.0255,0.181,,,,
87936,healthy,167.63,168.0,18.83,15.41,83.61,144.0,157.0,178.0,190.0,5000000,0.0097,0.1534,,,,
87937,healthy,169.56,169.0,19.25,13.4,85.26,146.0,159.0,180.0,193.0,5000000,0.0101,0.1332,,,,
87938,healthy,168.5,168.0,19.26,14.42,84.48,145.0,158.0,179.0,191.0,5000000,0.0195,0.1388,,,,
87940,healthy,167.38,168.0,20.12,16.92,81.99,142.0,156.0,178.0,191.0,5000000,0.0173,0.1642,,,,
87941,healthy,166.97,168.0,21.95,19.14,79.38,140.0,154.0,179.0,193.0,5000000,0.0196,0.1866,,,,
87942,healthy,167.62,168.0,20.4,16.83,81.99,142.0,156.0,179.0,192.0,5000000,0.0176,0.164,,,,
87943,healthy,167.62,168.0,20.58,17.04,81.94,142.0,156.0,179.0,192.0,5000000,0.0207,0.1653,,,,
87944,healthy,163.35,165.0,19.65,21.62,77.78,139.0,152.0,175.0,186.0,5000000,0.0235,0.2095,,,,
87945,healthy,165.92,167.0,20.84,19.42,79.56,140.0,154.0,178.0,190.0,5000000,0.0204,0.1887,,,,
87946,healthy,166.76,167.0,20.63,18.07,80.85,141.0,155.0,178.0,191.0,5000000,0.0207,0.1742,,,,
87948,healthy,166.86,167.0,19.06,16.3,82.85,143.0,156.0,177.0,189.0,5000000,0.0185,0.1575,,,,
87949,healthy,163.56,165.0,19.03,20.74,78.67,140.0,152.0,174.0,185.0,5000000,0.0186,0.2024,,,,
87950,healthy,169.71,169.0,22.34,16.31,81.72,142.0,157.0,182.0,197.0,5000000,0.0191,0.158,,,,
87951,healthy,166.57,167.0,21.39,19.05,79.73,140.0,154.0,178.0,192.0,5000000,0.0193,0.1855,,,,
87952,healthy,162.09,164.0,20.96,25.1,74.2,135.0,149.0,174.0,186.0,5000000,0.0187,0.2457,,,,
87953,healthy,165.45,166.0,20.67,19.88,79.18,140.0,153.0,177.0,190.0,5000000,0.0212,0.1931,,,,
87954,healthy,168.39,168.0,21.21,16.85,81.6,142.0,156.0,180.0,194.0,5000000,0.0176,0.1646,,,,
87955,healthy,165.84,167.0,20.87,19.48,79.4,140.0,154.0,177.0,190.0,5000000,0.0186,0.1896,,,,
87956,healthy,164.94,166.0,20.64,20.55,78.35,140.0,153.0,176.0,189.0,5000000,0.0213,0.1993,,,,
87957,healthy,167.0,167.0,21.52,18.79,79.81,140.0,155.0,179.0,192.0,5000000,0.0206,0.1821,,,,
87958,healthy,164.26,165.0,19.89,20.4,78.83,140.0,153.0,175.0,187.0,5000000,0.0195,0.1989,,,,
87959,healthy,163.84,165.0,19.64,20.94,78.41,139.0,152.0,175.0,186.0,5000000,0.0195,0.2041,,,,
87960,healthy,165.78,166.0,20.25,18.71,80.28,141.0,154.0,177.0,189.0,5000000,0.0213,0.1811,,,,
87961,healthy,165.95,167.0,20.19,18.3,80.78,141.0,155.0,177.0,189.0,5000000,0.0216,0.1757,,,,
87962,healthy,165.04,166.0,20.23,19.7,79.39,140.0,153.0,176.0,188.0,5000000,0.0201,0.1912,,,,
87963,healthy,164.73,166.0,20.18,20.12,79.02,140.0,153.0,176.0,188.0,5000000,0.0205,0.1952,,,,
87964,healthy,168.65,169.0,20.95,16.05,82.54,143.0,157.0,180.0,194.0,5000000,0.0187,0.1564,,,,
87965,healthy,166.99,167.0,20.78,18.1,80.72,141.0,155.0,179.0,192.0,5000000,0.0195,0.1747,,,,
87966,healthy,168.44,168.0,18.84,14.01,85.06,145.0,158.0,179.0,191.0,5000000,0.0161,0.1366,,,,
87967,healthy,166.57,167.0,19.91,17.66,81.37,142.0,155.0,177.0,190.0,5000000,0.0188,0.1713,,,,
87968,healthy,164.25,165.0,17.92,18.79,80.72,142.0,154.0,174.0,185.0,5000000,0.0183,0.1829,,,,
87969,healthy,166.32,167.0,19.57,17.46,81.6,142.0,155.0,177.0,190.0,5000000,0.0202,0.1694,,,,
87970,healthy,166.64,167.0,19.79,17.36,81.65,142.0,155.0,177.0,190.0,5000000,0.0199,0.1683,,,,
87971,healthy,164.96,166.0,19.63,19.24,80.02,140.0,154.0,176.0,188.0,5000000,0.0201,0.1875,,,,
87972,healthy,164.41,166.0,19.86,20.66,78.59,140.0,153.0,176.0,187.0,5000000,0.0199,0.201,,,,
87973,healthy,165.99,167.0,19.6,17.79,81.4,141.0,155.0,177.0,189.0,5000000,0.0188,0.1732,,,,
87974,healthy,169.33,169.0,20.58,14.83,83.82,144.0,158.0,181.0,194.0,5000000,0.0179,0.1439,,,,
87975,healthy,169.16,169.0,19.22,13.67,85.32,145.0,159.0,180.0,192.0,5000000,0.0163,0.1334,,,,
87976,healthy,168.48,169.0,21.01,16.29,82.25,142.0,157.0,180.0,193.0,5000000,0.0181,0.1577,,,,
87978,healthy,171.67,171.0,22.62,14.36,83.24,144.0,159.0,184.0,199.0,5000000,0.0206,0.1378,,,,
87979,healthy,169.05,168.0,19.65,14.29,84.38,145.0,158.0,180.0,193.0,5000000,0.0084,0.1423,,,,
87980,healthy,167.97,168.0,20.48,16.39,82.22,143.0,156.0,179.0,192.0,5000000,0.0187,0.1596,,,,
87981,healthy,165.87,167.0,20.08,18.63,80.42,141.0,154.0,177.0,189.0,5000000,0.0201,0.1811,,,,
87982,healthy,167.73,168.0,20.0,16.3,82.57,143.0,156.0,179.0,191.0,5000000,0.0171,0.1585,,,,
87983,healthy,165.99,166.0,19.95,18.33,80.69,141.0,155.0,177.0,189.0,5000000,0.0199,0.178,,,,
87984,healthy,167.09,167.0,19.98,17.15,81.81,142.0,156.0,178.0,191.0,5000000,0.0187,0.1665,,,,
87985,healthy,166.13,167.0,19.35,17.68,81.43,142.0,155.0,177.0,189.0,5000000,0.0277,0.1755,,,,
87986,healthy,167.66,167.0,19.22,15.61,83.33,144.0,157.0,178.0,191.0,5000000,0.0081,0.1558,,,,
87988,healthy,167.75,168.0,20.71,16.9,81.83,142.0,156.0,179.0,192.0,5000000,0.0186,0.1645,,,,
87989,healthy,166.68,167.0,20.19,17.8,81.08,142.0,155.0,178.0,191.0,5000000,0.0193,0.1734,,,,
87990,healthy,167.12,167.0,19.98,16.83,82.1,142.0,156.0,178.0,191.0,5000000,0.0212,0.1626,,,,
87991,healthy,166.27,167.0,20.98,19.08,79.7,141.0,154.0,178.0,191.0,5000000,0.0174,0.1868,,,,
87992,healthy,167.5,167.0,20.62,17.12,81.59,142.0,156.0,179.0,192.0,5000000,0.0223,0.1644,,,,
87993,healthy,163.54,165.0,19.99,22.37,76.87,139.0,151.0,175.0,187.0,5000000,0.0204,0.2205,,,,
87994,healthy,166.21,167.0,20.44,18.61,80.34,141.0,154.0,177.0,190.0,5000000,0.0188,0.182,,,,
