sample_id,group,mean_len,median_len,std_len,pct_short,pct_mid,p10,p25,p75,p90,n_fragments
85756,healthy,170.79,170.0,18.5,10.56,88.22,149.0,161.0,180.0,193.0,500000
85757,healthy,168.57,168.0,17.1,11.48,87.73,148.0,160.0,177.0,189.0,500000
85770,healthy,171.86,171.0,18.82,9.87,88.78,150.0,162.0,182.0,195.0,500000
85775,healthy,173.38,172.0,20.35,9.6,88.21,150.0,162.0,184.0,198.0,500000
85784,healthy,169.53,169.0,18.03,11.48,87.58,148.0,160.0,179.0,191.0,500000
85787,healthy,170.29,169.0,18.31,10.84,88.02,148.0,160.0,180.0,193.0,500000
85791,healthy,173.08,172.0,19.51,9.03,89.04,151.0,162.0,183.0,197.0,500000
85795,healthy,169.13,169.0,17.53,11.35,87.82,148.0,160.0,178.0,190.0,500000
85816,healthy,170.23,170.0,19.08,11.89,86.81,147.0,160.0,180.0,193.0,500000
85830,healthy,171.64,171.0,18.44,9.71,88.99,150.0,162.0,181.0,194.0,500000
85842,healthy,169.58,169.0,16.84,10.2,89.1,149.0,161.0,178.0,190.0,500000
85854,healthy,168.28,168.0,20.26,15.28,83.49,143.0,157.0,179.0,192.0,500000
85860,healthy,170.41,170.0,19.06,11.69,87.01,147.0,160.0,180.0,193.0,500000
85861,healthy,169.54,169.0,17.85,11.47,87.66,148.0,160.0,179.0,191.0,500000
85878,healthy,171.78,171.0,18.56,9.58,88.97,150.0,162.0,181.0,195.0,500000
85898,healthy,172.21,171.0,19.53,9.99,88.3,150.0,162.0,182.0,196.0,500000
85904,healthy,171.36,170.0,19.79,11.13,87.14,148.0,161.0,181.0,196.0,500000
85905,healthy,169.33,169.0,17.63,11.25,87.89,148.0,160.0,178.0,190.0,500000
85908,healthy,170.2,170.0,20.15,12.86,85.66,146.0,160.0,181.0,194.0,500000
85918,healthy,171.57,171.0,19.35,10.52,87.91,149.0,161.0,181.0,195.0,500000
85928,healthy,167.51,167.0,17.15,12.83,86.53,146.0,159.0,176.0,188.0,500000
85936,healthy,167.54,168.0,17.9,13.9,85.39,145.0,158.0,177.0,189.0,500000
85937,healthy,171.26,170.0,19.54,10.87,87.45,148.0,161.0,181.0,195.0,500000
85941,healthy,168.15,168.0,17.77,12.69,86.51,146.0,159.0,177.0,189.0,500000
85959,healthy,171.79,171.0,18.64,9.6,88.93,150.0,162.0,181.0,194.0,500000
85963,healthy,172.09,171.0,18.97,9.44,88.94,150.0,162.0,182.0,195.0,500000
85970,healthy,172.67,171.0,18.62,8.5,89.84,151.0,162.0,182.0,196.0,500000
85971,healthy,172.29,171.0,19.57,9.83,88.42,150.0,162.0,182.0,196.0,500000
85980,healthy,171.78,171.0,18.92,9.92,88.66,150.0,161.0,182.0,195.0,500000
85985,healthy,170.62,170.0,19.06,11.13,87.45,148.0,160.0,180.0,194.0,500000
85987,healthy,168.36,168.0,18.21,13.19,86.02,146.0,159.0,178.0,190.0,500000
85988,healthy,172.56,171.0,19.43,9.59,88.66,150.0,162.0,183.0,197.0,500000
86276,healthy,146.65,155.0,50.22,44.23,51.54,72.0,119.0,174.0,193.0,500000
